"","year","race","number","income_median","income_med_moe","income_mean","income_mean_moe","income_bracket","income_distribution"
"598",2006,"White Alone",94705000,64410,307,87842,602,"$35,000 to $49,999",12.9
"599",2006,"White Alone",94705000,64410,307,87842,602,"$50,000 to $74,999",17.7
"600",2006,"White Alone",94705000,64410,307,87842,602,"$75,000 to $99,999",13.2
"601",2006,"White Alone",94705000,64410,307,87842,602,"$100,000 to $149,999",15.8
"602",2006,"White Alone",94705000,64410,307,87842,602,"$150,000 to $199,999",7
"603",2006,"White Alone",94705000,64410,307,87842,602,"$200,000 and over",7
"604",2005,"White Alone",93588000,63718,458,86562,589,"Under $15,000",8.6
"605",2005,"White Alone",93588000,63718,458,86562,589,"$15,000 to $24,999",9.3
"606",2005,"White Alone",93588000,63718,458,86562,589,"$25,000 to $34,999",9.3
"607",2005,"White Alone",93588000,63718,458,86562,589,"$35,000 to $49,999",12.7
"608",2005,"White Alone",93588000,63718,458,86562,589,"$50,000 to $74,999",17.7
"609",2005,"White Alone",93588000,63718,458,86562,589,"$75,000 to $99,999",13.4
"610",2005,"White Alone",93588000,63718,458,86562,589,"$100,000 to $149,999",15.4
"611",2005,"White Alone",93588000,63718,458,86562,589,"$150,000 to $199,999",6.9
"612",2005,"White Alone",93588000,63718,458,86562,589,"$200,000 and over",6.6
"613",2004,"White Alone",92880000,63304,408,85352,578,"Under $15,000",8.8
"614",2004,"White Alone",92880000,63304,408,85352,578,"$15,000 to $24,999",9.4
"615",2004,"White Alone",92880000,63304,408,85352,578,"$25,000 to $34,999",9.6
"616",2004,"White Alone",92880000,63304,408,85352,578,"$35,000 to $49,999",12.6
"617",2004,"White Alone",92880000,63304,408,85352,578,"$50,000 to $74,999",17.6
"618",2004,"White Alone",92880000,63304,408,85352,578,"$75,000 to $99,999",13
"619",2004,"White Alone",92880000,63304,408,85352,578,"$100,000 to $149,999",15.8
"620",2004,"White Alone",92880000,63304,408,85352,578,"$150,000 to $199,999",6.7
"621",2004,"White Alone",92880000,63304,408,85352,578,"$200,000 and over",6.5
"622",2003,"White Alone",91962000,63583,410,85816,566,"Under $15,000",8.7
"623",2003,"White Alone",91962000,63583,410,85816,566,"$15,000 to $24,999",9.3
"624",2003,"White Alone",91962000,63583,410,85816,566,"$25,000 to $34,999",9.5
"625",2003,"White Alone",91962000,63583,410,85816,566,"$35,000 to $49,999",12.5
"626",2003,"White Alone",91962000,63583,410,85816,566,"$50,000 to $74,999",17.5
"627",2003,"White Alone",91962000,63583,410,85816,566,"$75,000 to $99,999",13
"628",2003,"White Alone",91962000,63583,410,85816,566,"$100,000 to $149,999",16.1
"629",2003,"White Alone",91962000,63583,410,85816,566,"$150,000 to $199,999",6.7
"630",2003,"White Alone",91962000,63583,410,85816,566,"$200,000 and over",6.6
"631",2002,"White Alone",91645000,64250,429,85740,574,"Under $15,000",8.6
"632",2002,"White Alone",91645000,64250,429,85740,574,"$15,000 to $24,999",9.4
"633",2002,"White Alone",91645000,64250,429,85740,574,"$25,000 to $34,999",8.9
"634",2002,"White Alone",91645000,64250,429,85740,574,"$35,000 to $49,999",13
"635",2002,"White Alone",91645000,64250,429,85740,574,"$50,000 to $74,999",17.5
"636",2002,"White Alone",91645000,64250,429,85740,574,"$75,000 to $99,999",13.1
"637",2002,"White Alone",91645000,64250,429,85740,574,"$100,000 to $149,999",16.5
"638",2002,"White Alone",91645000,64250,429,85740,574,"$150,000 to $199,999",6.6
"639",2002,"White Alone",91645000,64250,429,85740,574,"$200,000 and over",6.3
"640",2001,"White Alone",90682000,64439,498,87592,619,"Under $15,000",8.3
"641",2001,"White Alone",90682000,64439,498,87592,619,"$15,000 to $24,999",9.4
"642",2001,"White Alone",90682000,64439,498,87592,619,"$25,000 to $34,999",8.9
"643",2001,"White Alone",90682000,64439,498,87592,619,"$35,000 to $49,999",12.7
"644",2001,"White Alone",90682000,64439,498,87592,619,"$50,000 to $74,999",17.9
"645",2001,"White Alone",90682000,64439,498,87592,619,"$75,000 to $99,999",13.2
"646",2001,"White Alone",90682000,64439,498,87592,619,"$100,000 to $149,999",16.3
"647",2001,"White Alone",90682000,64439,498,87592,619,"$150,000 to $199,999",6.7
"648",2001,"White Alone",90682000,64439,498,87592,619,"$200,000 and over",6.8
"649",2000,"White Alone",90030000,65379,475,88213,622,"Under $15,000",8
"650",2000,"White Alone",90030000,65379,475,88213,622,"$15,000 to $24,999",9
"651",2000,"White Alone",90030000,65379,475,88213,622,"$25,000 to $34,999",8.6
"652",2000,"White Alone",90030000,65379,475,88213,622,"$35,000 to $49,999",13
"653",2000,"White Alone",90030000,65379,475,88213,622,"$50,000 to $74,999",17.7
"654",2000,"White Alone",90030000,65379,475,88213,622,"$75,000 to $99,999",13.6
"655",2000,"White Alone",90030000,65379,475,88213,622,"$100,000 to $149,999",16.2
"656",2000,"White Alone",90030000,65379,475,88213,622,"$150,000 to $199,999",7.2
"657",2000,"White Alone",90030000,65379,475,88213,622,"$200,000 and over",6.6
"658",1999,"White Alone",88893000,65149,542,87315,813,"Under $15,000",7.6
"659",1999,"White Alone",88893000,65149,542,87315,813,"$15,000 to $24,999",9.3
"660",1999,"White Alone",88893000,65149,542,87315,813,"$25,000 to $34,999",9
"661",1999,"White Alone",88893000,65149,542,87315,813,"$35,000 to $49,999",12.9
"662",1999,"White Alone",88893000,65149,542,87315,813,"$50,000 to $74,999",17.7
"663",1999,"White Alone",88893000,65149,542,87315,813,"$75,000 to $99,999",13.6
"664",1999,"White Alone",88893000,65149,542,87315,813,"$100,000 to $149,999",16.4
"665",1999,"White Alone",88893000,65149,542,87315,813,"$150,000 to $199,999",6.9
"666",1999,"White Alone",88893000,65149,542,87315,813,"$200,000 and over",6.7
"667",1998,"White Alone",87212000,64315,530,85215,825,"Under $15,000",8.2
"668",1998,"White Alone",87212000,64315,530,85215,825,"$15,000 to $24,999",9.3
"669",1998,"White Alone",87212000,64315,530,85215,825,"$25,000 to $34,999",9
"670",1998,"White Alone",87212000,64315,530,85215,825,"$35,000 to $49,999",12.9
"671",1998,"White Alone",87212000,64315,530,85215,825,"$50,000 to $74,999",17.7
"672",1998,"White Alone",87212000,64315,530,85215,825,"$75,000 to $99,999",14.2
"673",1998,"White Alone",87212000,64315,530,85215,825,"$100,000 to $149,999",16
"674",1998,"White Alone",87212000,64315,530,85215,825,"$150,000 to $199,999",6.6
"675",1998,"White Alone",87212000,64315,530,85215,825,"$200,000 and over",6
"676",1997,"White Alone",86106000,62095,647,82696,828,"Under $15,000",8.8
"677",1997,"White Alone",86106000,62095,647,82696,828,"$15,000 to $24,999",9.8
"678",1997,"White Alone",86106000,62095,647,82696,828,"$25,000 to $34,999",9.2
"679",1997,"White Alone",86106000,62095,647,82696,828,"$35,000 to $49,999",13
"680",1997,"White Alone",86106000,62095,647,82696,828,"$50,000 to $74,999",18.2
"681",1997,"White Alone",86106000,62095,647,82696,828,"$75,000 to $99,999",13.8
"682",1997,"White Alone",86106000,62095,647,82696,828,"$100,000 to $149,999",15.5
"683",1997,"White Alone",86106000,62095,647,82696,828,"$150,000 to $199,999",6.1
"684",1997,"White Alone",86106000,62095,647,82696,828,"$200,000 and over",5.6
"685",1996,"White Alone",85059000,60489,514,79750,777,"Under $15,000",9
"686",1996,"White Alone",85059000,60489,514,79750,777,"$15,000 to $24,999",10.1
"687",1996,"White Alone",85059000,60489,514,79750,777,"$25,000 to $34,999",9.4
"688",1996,"White Alone",85059000,60489,514,79750,777,"$35,000 to $49,999",13.5
"689",1996,"White Alone",85059000,60489,514,79750,777,"$50,000 to $74,999",18.2
"690",1996,"White Alone",85059000,60489,514,79750,777,"$75,000 to $99,999",14
"691",1996,"White Alone",85059000,60489,514,79750,777,"$100,000 to $149,999",15.1
"692",1996,"White Alone",85059000,60489,514,79750,777,"$150,000 to $199,999",5.7
"693",1996,"White Alone",85059000,60489,514,79750,777,"$200,000 and over",5
"694",1995,"White Alone",84511000,59769,514,78089,745,"Under $15,000",9
"695",1995,"White Alone",84511000,59769,514,78089,745,"$15,000 to $24,999",10
"696",1995,"White Alone",84511000,59769,514,78089,745,"$25,000 to $34,999",10
"697",1995,"White Alone",84511000,59769,514,78089,745,"$35,000 to $49,999",13
"698",1995,"White Alone",84511000,59769,514,78089,745,"$50,000 to $74,999",19.1
"699",1995,"White Alone",84511000,59769,514,78089,745,"$75,000 to $99,999",13.8
"700",1995,"White Alone",84511000,59769,514,78089,745,"$100,000 to $149,999",14.9
"701",1995,"White Alone",84511000,59769,514,78089,745,"$150,000 to $199,999",5.5
"702",1995,"White Alone",84511000,59769,514,78089,745,"$200,000 and over",4.7
"703",1994,"White Alone",83737000,58234,538,77070,738,"Under $15,000",9.6
"704",1994,"White Alone",83737000,58234,538,77070,738,"$15,000 to $24,999",10.3
"705",1994,"White Alone",83737000,58234,538,77070,738,"$25,000 to $34,999",9.9
"706",1994,"White Alone",83737000,58234,538,77070,738,"$35,000 to $49,999",13.4
"707",1994,"White Alone",83737000,58234,538,77070,738,"$50,000 to $74,999",18.9
"708",1994,"White Alone",83737000,58234,538,77070,738,"$75,000 to $99,999",13.2
"709",1994,"White Alone",83737000,58234,538,77070,738,"$100,000 to $149,999",14.7
"710",1994,"White Alone",83737000,58234,538,77070,738,"$150,000 to $199,999",5.4
"711",1994,"White Alone",83737000,58234,538,77070,738,"$200,000 and over",4.6
"712",1993,"White Alone",82387000,57584,552,75623,718,"Under $15,000",9.9
"713",1993,"White Alone",82387000,57584,552,75623,718,"$15,000 to $24,999",10.1
"714",1993,"White Alone",82387000,57584,552,75623,718,"$25,000 to $34,999",9.8
"715",1993,"White Alone",82387000,57584,552,75623,718,"$35,000 to $49,999",13.7
"716",1993,"White Alone",82387000,57584,552,75623,718,"$50,000 to $74,999",19
"717",1993,"White Alone",82387000,57584,552,75623,718,"$75,000 to $99,999",13.7
"718",1993,"White Alone",82387000,57584,552,75623,718,"$100,000 to $149,999",14.2
"719",1993,"White Alone",82387000,57584,552,75623,718,"$150,000 to $199,999",5.2
"720",1993,"White Alone",82387000,57584,552,75623,718,"$200,000 and over",4.2
"721",1992,"White Alone",81795000,57691,460,72710,533,"Under $15,000",9.8
"722",1992,"White Alone",81795000,57691,460,72710,533,"$15,000 to $24,999",10.1
"723",1992,"White Alone",81795000,57691,460,72710,533,"$25,000 to $34,999",10
"724",1992,"White Alone",81795000,57691,460,72710,533,"$35,000 to $49,999",13.6
"725",1992,"White Alone",81795000,57691,460,72710,533,"$50,000 to $74,999",19.2
"726",1992,"White Alone",81795000,57691,460,72710,533,"$75,000 to $99,999",14.2
"727",1992,"White Alone",81795000,57691,460,72710,533,"$100,000 to $149,999",14.3
"728",1992,"White Alone",81795000,57691,460,72710,533,"$150,000 to $199,999",5.1
"729",1992,"White Alone",81795000,57691,460,72710,533,"$200,000 and over",3.7
"730",1991,"White Alone",81675000,57951,462,72552,519,"Under $15,000",9.7
"731",1991,"White Alone",81675000,57951,462,72552,519,"$15,000 to $24,999",9.9
"732",1991,"White Alone",81675000,57951,462,72552,519,"$25,000 to $34,999",9.6
"733",1991,"White Alone",81675000,57951,462,72552,519,"$35,000 to $49,999",14
"734",1991,"White Alone",81675000,57951,462,72552,519,"$50,000 to $74,999",19.5
"735",1991,"White Alone",81675000,57951,462,72552,519,"$75,000 to $99,999",14
"736",1991,"White Alone",81675000,57951,462,72552,519,"$100,000 to $149,999",14.5
"737",1991,"White Alone",81675000,57951,462,72552,519,"$150,000 to $199,999",5.1
"738",1991,"White Alone",81675000,57951,462,72552,519,"$200,000 and over",3.6
"739",1990,"White Alone",80968000,59416,448,74029,545,"Under $15,000",9.2
"740",1990,"White Alone",80968000,59416,448,74029,545,"$15,000 to $24,999",9.7
"741",1990,"White Alone",80968000,59416,448,74029,545,"$25,000 to $34,999",9.4
"742",1990,"White Alone",80968000,59416,448,74029,545,"$35,000 to $49,999",14
"743",1990,"White Alone",80968000,59416,448,74029,545,"$50,000 to $74,999",19.9
"744",1990,"White Alone",80968000,59416,448,74029,545,"$75,000 to $99,999",14.2
"745",1990,"White Alone",80968000,59416,448,74029,545,"$100,000 to $149,999",14.6
"746",1990,"White Alone",80968000,59416,448,74029,545,"$150,000 to $199,999",5
"747",1990,"White Alone",80968000,59416,448,74029,545,"$200,000 and over",3.9
"748",1989,"White Alone",80163000,60699,486,75941,578,"Under $15,000",9
"749",1989,"White Alone",80163000,60699,486,75941,578,"$15,000 to $24,999",9.6
"750",1989,"White Alone",80163000,60699,486,75941,578,"$25,000 to $34,999",9.4
"751",1989,"White Alone",80163000,60699,486,75941,578,"$35,000 to $49,999",13.3
"752",1989,"White Alone",80163000,60699,486,75941,578,"$50,000 to $74,999",19.6
"753",1989,"White Alone",80163000,60699,486,75941,578,"$75,000 to $99,999",14.5
"754",1989,"White Alone",80163000,60699,486,75941,578,"$100,000 to $149,999",15
"755",1989,"White Alone",80163000,60699,486,75941,578,"$150,000 to $199,999",5.4
"756",1989,"White Alone",80163000,60699,486,75941,578,"$200,000 and over",4.2
"757",1988,"White Alone",79734000,59967,583,73900,572,"Under $15,000",9.6
"758",1988,"White Alone",79734000,59967,583,73900,572,"$15,000 to $24,999",9
"759",1988,"White Alone",79734000,59967,583,73900,572,"$25,000 to $34,999",9.8
"760",1988,"White Alone",79734000,59967,583,73900,572,"$35,000 to $49,999",13
"761",1988,"White Alone",79734000,59967,583,73900,572,"$50,000 to $74,999",20
"762",1988,"White Alone",79734000,59967,583,73900,572,"$75,000 to $99,999",14.6
"763",1988,"White Alone",79734000,59967,583,73900,572,"$100,000 to $149,999",15.1
"764",1988,"White Alone",79734000,59967,583,73900,572,"$150,000 to $199,999",5.1
"765",1988,"White Alone",79734000,59967,583,73900,572,"$200,000 and over",3.8
"766",1987,"White Alone",78519000,59277,490,72958,518,"Under $15,000",9.7
"767",1987,"White Alone",78519000,59277,490,72958,518,"$15,000 to $24,999",9.5
"768",1987,"White Alone",78519000,59277,490,72958,518,"$25,000 to $34,999",9.7
"769",1987,"White Alone",78519000,59277,490,72958,518,"$35,000 to $49,999",13.5
"770",1987,"White Alone",78519000,59277,490,72958,518,"$50,000 to $74,999",19.5
"771",1987,"White Alone",78519000,59277,490,72958,518,"$75,000 to $99,999",15
"772",1987,"White Alone",78519000,59277,490,72958,518,"$100,000 to $149,999",14.8
"773",1987,"White Alone",78519000,59277,490,72958,518,"$150,000 to $199,999",4.9
"774",1987,"White Alone",78519000,59277,490,72958,518,"$200,000 and over",3.5
"775",1986,"White Alone",77284000,58451,467,71548,503,"Under $15,000",10.3
"776",1986,"White Alone",77284000,58451,467,71548,503,"$15,000 to $24,999",9.5
"777",1986,"White Alone",77284000,58451,467,71548,503,"$25,000 to $34,999",9.7
"778",1986,"White Alone",77284000,58451,467,71548,503,"$35,000 to $49,999",13.6
"779",1986,"White Alone",77284000,58451,467,71548,503,"$50,000 to $74,999",19.9
"780",1986,"White Alone",77284000,58451,467,71548,503,"$75,000 to $99,999",14.5
"781",1986,"White Alone",77284000,58451,467,71548,503,"$100,000 to $149,999",14.5
"782",1986,"White Alone",77284000,58451,467,71548,503,"$150,000 to $199,999",4.7
"783",1986,"White Alone",77284000,58451,467,71548,503,"$200,000 and over",3.4
"784",1985,"White Alone",76576000,56595,497,68754,475,"Under $15,000",10.5
"785",1985,"White Alone",76576000,56595,497,68754,475,"$15,000 to $24,999",10
"786",1985,"White Alone",76576000,56595,497,68754,475,"$25,000 to $34,999",9.8
"787",1985,"White Alone",76576000,56595,497,68754,475,"$35,000 to $49,999",14.2
"788",1985,"White Alone",76576000,56595,497,68754,475,"$50,000 to $74,999",20.3
"789",1985,"White Alone",76576000,56595,497,68754,475,"$75,000 to $99,999",14.2
"790",1985,"White Alone",76576000,56595,497,68754,475,"$100,000 to $149,999",13.8
"791",1985,"White Alone",76576000,56595,497,68754,475,"$150,000 to $199,999",4.2
"792",1985,"White Alone",76576000,56595,497,68754,475,"$200,000 and over",2.9
"793",1984,"White Alone",75328000,55575,460,67208,429,"Under $15,000",10.5
"794",1984,"White Alone",75328000,55575,460,67208,429,"$15,000 to $24,999",10.2
"795",1984,"White Alone",75328000,55575,460,67208,429,"$25,000 to $34,999",9.9
"796",1984,"White Alone",75328000,55575,460,67208,429,"$35,000 to $49,999",14.7
"797",1984,"White Alone",75328000,55575,460,67208,429,"$50,000 to $74,999",20.4
"798",1984,"White Alone",75328000,55575,460,67208,429,"$75,000 to $99,999",14.4
"799",1984,"White Alone",75328000,55575,460,67208,429,"$100,000 to $149,999",13.3
"800",1984,"White Alone",75328000,55575,460,67208,429,"$150,000 to $199,999",4
"801",1984,"White Alone",75328000,55575,460,67208,429,"$200,000 and over",2.7
"802",1983,"White Alone",74376000,53616,399,64761,415,"Under $15,000",10.9
"803",1983,"White Alone",74376000,53616,399,64761,415,"$15,000 to $24,999",10.3
"804",1983,"White Alone",74376000,53616,399,64761,415,"$25,000 to $34,999",10.4
"805",1983,"White Alone",74376000,53616,399,64761,415,"$35,000 to $49,999",15
"806",1983,"White Alone",74376000,53616,399,64761,415,"$50,000 to $74,999",20.8
"807",1983,"White Alone",74376000,53616,399,64761,415,"$75,000 to $99,999",13.9
"808",1983,"White Alone",74376000,53616,399,64761,415,"$100,000 to $149,999",12.7
"809",1983,"White Alone",74376000,53616,399,64761,415,"$150,000 to $199,999",3.6
"810",1983,"White Alone",74376000,53616,399,64761,415,"$200,000 and over",2.4
"811",1982,"White Alone",73182000,53902,403,64607,416,"Under $15,000",11
"812",1982,"White Alone",73182000,53902,403,64607,416,"$15,000 to $24,999",10.2
"813",1982,"White Alone",73182000,53902,403,64607,416,"$25,000 to $34,999",10.5
"814",1982,"White Alone",73182000,53902,403,64607,416,"$35,000 to $49,999",14.7
"815",1982,"White Alone",73182000,53902,403,64607,416,"$50,000 to $74,999",21.3
"816",1982,"White Alone",73182000,53902,403,64607,416,"$75,000 to $99,999",14
"817",1982,"White Alone",73182000,53902,403,64607,416,"$100,000 to $149,999",12.5
"818",1982,"White Alone",73182000,53902,403,64607,416,"$150,000 to $199,999",3.6
"819",1982,"White Alone",73182000,53902,403,64607,416,"$200,000 and over",2.3
"820",1981,"White Alone",72845000,54548,414,64262,401,"Under $15,000",10.8
"821",1981,"White Alone",72845000,54548,414,64262,401,"$15,000 to $24,999",10.2
"822",1981,"White Alone",72845000,54548,414,64262,401,"$25,000 to $34,999",10.7
"823",1981,"White Alone",72845000,54548,414,64262,401,"$35,000 to $49,999",14.4
"824",1981,"White Alone",72845000,54548,414,64262,401,"$50,000 to $74,999",21.2
"825",1981,"White Alone",72845000,54548,414,64262,401,"$75,000 to $99,999",14.7
"826",1981,"White Alone",72845000,54548,414,64262,401,"$100,000 to $149,999",12.6
"827",1981,"White Alone",72845000,54548,414,64262,401,"$150,000 to $199,999",3.4
"828",1981,"White Alone",72845000,54548,414,64262,401,"$200,000 and over",2
"829",1980,"White Alone",71872000,55346,468,64911,409,"Under $15,000",10.6
"830",1980,"White Alone",71872000,55346,468,64911,409,"$15,000 to $24,999",10.1
"831",1980,"White Alone",71872000,55346,468,64911,409,"$25,000 to $34,999",10
"832",1980,"White Alone",71872000,55346,468,64911,409,"$35,000 to $49,999",14.6
"833",1980,"White Alone",71872000,55346,468,64911,409,"$50,000 to $74,999",21.8
"834",1980,"White Alone",71872000,55346,468,64911,409,"$75,000 to $99,999",14.7
"835",1980,"White Alone",71872000,55346,468,64911,409,"$100,000 to $149,999",12.7
"836",1980,"White Alone",71872000,55346,468,64911,409,"$150,000 to $199,999",3.5
"837",1980,"White Alone",71872000,55346,468,64911,409,"$200,000 and over",2
"838",1979,"White Alone",70766000,56851,444,66950,439,"Under $15,000",10.4
"839",1979,"White Alone",70766000,56851,444,66950,439,"$15,000 to $24,999",9.5
"840",1979,"White Alone",70766000,56851,444,66950,439,"$25,000 to $34,999",9.9
"841",1979,"White Alone",70766000,56851,444,66950,439,"$35,000 to $49,999",14.3
"842",1979,"White Alone",70766000,56851,444,66950,439,"$50,000 to $74,999",21
"843",1979,"White Alone",70766000,56851,444,66950,439,"$75,000 to $99,999",15.8
"844",1979,"White Alone",70766000,56851,444,66950,439,"$100,000 to $149,999",13
"845",1979,"White Alone",70766000,56851,444,66950,439,"$150,000 to $199,999",3.6
"846",1979,"White Alone",70766000,56851,444,66950,439,"$200,000 and over",2.3
"847",1978,"White Alone",68028000,56475,409,66309,439,"Under $15,000",10.2
"848",1978,"White Alone",68028000,56475,409,66309,439,"$15,000 to $24,999",9.9
"849",1978,"White Alone",68028000,56475,409,66309,439,"$25,000 to $34,999",9.9
"850",1978,"White Alone",68028000,56475,409,66309,439,"$35,000 to $49,999",14.2
"851",1978,"White Alone",68028000,56475,409,66309,439,"$50,000 to $74,999",21.4
"852",1978,"White Alone",68028000,56475,409,66309,439,"$75,000 to $99,999",15.7
"853",1978,"White Alone",68028000,56475,409,66309,439,"$100,000 to $149,999",13
"854",1978,"White Alone",68028000,56475,409,66309,439,"$150,000 to $199,999",3.4
"855",1978,"White Alone",68028000,56475,409,66309,439,"$200,000 and over",2.2
"856",1977,"White Alone",66934000,54999,380,64467,342,"Under $15,000",10.5
"857",1977,"White Alone",66934000,54999,380,64467,342,"$15,000 to $24,999",10.5
"858",1977,"White Alone",66934000,54999,380,64467,342,"$25,000 to $34,999",10.2
"859",1977,"White Alone",66934000,54999,380,64467,342,"$35,000 to $49,999",14.1
"860",1977,"White Alone",66934000,54999,380,64467,342,"$50,000 to $74,999",21.9
"861",1977,"White Alone",66934000,54999,380,64467,342,"$75,000 to $99,999",15.5
"862",1977,"White Alone",66934000,54999,380,64467,342,"$100,000 to $149,999",12.3
"863",1977,"White Alone",66934000,54999,380,64467,342,"$150,000 to $199,999",3.1
"864",1977,"White Alone",66934000,54999,380,64467,342,"$200,000 and over",2
"865",1976,"White Alone",65353000,54443,371,63485,337,"Under $15,000",10.7
"866",1976,"White Alone",65353000,54443,371,63485,337,"$15,000 to $24,999",10.5
"867",1976,"White Alone",65353000,54443,371,63485,337,"$25,000 to $34,999",10
"868",1976,"White Alone",65353000,54443,371,63485,337,"$35,000 to $49,999",14.8
"869",1976,"White Alone",65353000,54443,371,63485,337,"$50,000 to $74,999",22.3
"870",1976,"White Alone",65353000,54443,371,63485,337,"$75,000 to $99,999",15.2
"871",1976,"White Alone",65353000,54443,371,63485,337,"$100,000 to $149,999",11.9
"872",1976,"White Alone",65353000,54443,371,63485,337,"$150,000 to $199,999",2.8
"873",1976,"White Alone",65353000,54443,371,63485,337,"$200,000 and over",1.9
"874",1975,"White Alone",64392000,53464,321,61904,335,"Under $15,000",11
"875",1975,"White Alone",64392000,53464,321,61904,335,"$15,000 to $24,999",10.8
"876",1975,"White Alone",64392000,53464,321,61904,335,"$25,000 to $34,999",10.5
"877",1975,"White Alone",64392000,53464,321,61904,335,"$35,000 to $49,999",14.6
"878",1975,"White Alone",64392000,53464,321,61904,335,"$50,000 to $74,999",22.7
"879",1975,"White Alone",64392000,53464,321,61904,335,"$75,000 to $99,999",14.9
"880",1975,"White Alone",64392000,53464,321,61904,335,"$100,000 to $149,999",11.2
"881",1975,"White Alone",64392000,53464,321,61904,335,"$150,000 to $199,999",2.6
"882",1975,"White Alone",64392000,53464,321,61904,335,"$200,000 and over",1.6
"883",1974,"White Alone",62984000,54904,339,63667,339,"Under $15,000",10.6
"884",1974,"White Alone",62984000,54904,339,63667,339,"$15,000 to $24,999",10
"885",1974,"White Alone",62984000,54904,339,63667,339,"$25,000 to $34,999",9.7
"886",1974,"White Alone",62984000,54904,339,63667,339,"$35,000 to $49,999",15.2
"887",1974,"White Alone",62984000,54904,339,63667,339,"$50,000 to $74,999",22.7
"888",1974,"White Alone",62984000,54904,339,63667,339,"$75,000 to $99,999",15.6
"889",1974,"White Alone",62984000,54904,339,63667,339,"$100,000 to $149,999",11.6
"890",1974,"White Alone",62984000,54904,339,63667,339,"$150,000 to $199,999",2.9
"891",1974,"White Alone",62984000,54904,339,63667,339,"$200,000 and over",1.8
"892",1973,"White Alone",61965000,56821,356,65124,339,"Under $15,000",10.5
"893",1973,"White Alone",61965000,56821,356,65124,339,"$15,000 to $24,999",10
"894",1973,"White Alone",61965000,56821,356,65124,339,"$25,000 to $34,999",9.1
"895",1973,"White Alone",61965000,56821,356,65124,339,"$35,000 to $49,999",14
"896",1973,"White Alone",61965000,56821,356,65124,339,"$50,000 to $74,999",22.8
"897",1973,"White Alone",61965000,56821,356,65124,339,"$75,000 to $99,999",15.6
"898",1973,"White Alone",61965000,56821,356,65124,339,"$100,000 to $149,999",12.6
"899",1973,"White Alone",61965000,56821,356,65124,339,"$150,000 to $199,999",3.2
"900",1973,"White Alone",61965000,56821,356,65124,339,"$200,000 and over",2.1
"901",1972,"White Alone",60618000,55752,352,64257,343,"Under $15,000",11.2
"902",1972,"White Alone",60618000,55752,352,64257,343,"$15,000 to $24,999",9.6
"903",1972,"White Alone",60618000,55752,352,64257,343,"$25,000 to $34,999",9.5
"904",1972,"White Alone",60618000,55752,352,64257,343,"$35,000 to $49,999",14.6
"905",1972,"White Alone",60618000,55752,352,64257,343,"$50,000 to $74,999",23.2
"906",1972,"White Alone",60618000,55752,352,64257,343,"$75,000 to $99,999",15.4
"907",1972,"White Alone",60618000,55752,352,64257,343,"$100,000 to $149,999",11.7
"908",1972,"White Alone",60618000,55752,352,64257,343,"$150,000 to $199,999",2.9
"909",1972,"White Alone",60618000,55752,352,64257,343,"$200,000 and over",2
"910",1971,"White Alone",59463000,53303,334,60731,325,"Under $15,000",12.1
"911",1971,"White Alone",59463000,53303,334,60731,325,"$15,000 to $24,999",9.5
"912",1971,"White Alone",59463000,53303,334,60731,325,"$25,000 to $34,999",10.2
"913",1971,"White Alone",59463000,53303,334,60731,325,"$35,000 to $49,999",15
"914",1971,"White Alone",59463000,53303,334,60731,325,"$50,000 to $74,999",24.4
"915",1971,"White Alone",59463000,53303,334,60731,325,"$75,000 to $99,999",14.5
"916",1971,"White Alone",59463000,53303,334,60731,325,"$100,000 to $149,999",10.4
"917",1971,"White Alone",59463000,53303,334,60731,325,"$150,000 to $199,999",2.4
"918",1971,"White Alone",59463000,53303,334,60731,325,"$200,000 and over",1.5
"919",1970,"White Alone",57575000,53600,339,60988,330,"Under $15,000",12.1
"920",1970,"White Alone",57575000,53600,339,60988,330,"$15,000 to $24,999",9.4
"921",1970,"White Alone",57575000,53600,339,60988,330,"$25,000 to $34,999",9.3
"922",1970,"White Alone",57575000,53600,339,60988,330,"$35,000 to $49,999",15.5
"923",1970,"White Alone",57575000,53600,339,60988,330,"$50,000 to $74,999",24.9
"924",1970,"White Alone",57575000,53600,339,60988,330,"$75,000 to $99,999",14.3
"925",1970,"White Alone",57575000,53600,339,60988,330,"$100,000 to $149,999",10.5
"926",1970,"White Alone",57575000,53600,339,60988,330,"$150,000 to $199,999",2.3
"927",1970,"White Alone",57575000,53600,339,60988,330,"$200,000 and over",1.6
"928",1969,"White Alone",56248000,54126,325,61192,336,"Under $15,000",12
"929",1969,"White Alone",56248000,54126,325,61192,336,"$15,000 to $24,999",9.3
"930",1969,"White Alone",56248000,54126,325,61192,336,"$25,000 to $34,999",8.9
"931",1969,"White Alone",56248000,54126,325,61192,336,"$35,000 to $49,999",15.8
"932",1969,"White Alone",56248000,54126,325,61192,336,"$50,000 to $74,999",25.2
"933",1969,"White Alone",56248000,54126,325,61192,336,"$75,000 to $99,999",15
"934",1969,"White Alone",56248000,54126,325,61192,336,"$100,000 to $149,999",10
"935",1969,"White Alone",56248000,54126,325,61192,336,"$150,000 to $199,999",2.4
"936",1969,"White Alone",56248000,54126,325,61192,336,"$200,000 and over",1.5
"937",1968,"White Alone",55394000,52064,319,58606,319,"Under $15,000",12.3
"938",1968,"White Alone",55394000,52064,319,58606,319,"$15,000 to $24,999",9.3
