"","year","race","dollar_type","number","income_quintile","income_dollars"
"1460",1995,"Black Alone","2019 Dollars",11577000,"Top 5%",133406
"1461",1994,"Black Alone","2019 Dollars",11655000,"Lowest",12926
"1462",1994,"Black Alone","2019 Dollars",11655000,"Second",27033
"1463",1994,"Black Alone","2019 Dollars",11655000,"Third",45900
"1464",1994,"Black Alone","2019 Dollars",11655000,"Fourth",78285
"1465",1994,"Black Alone","2019 Dollars",11655000,"Top 5%",138220
"1466",1993,"Black Alone","2019 Dollars",11281000,"Lowest",12509
"1467",1993,"Black Alone","2019 Dollars",11281000,"Second",25455
"1468",1993,"Black Alone","2019 Dollars",11281000,"Third",43677
"1469",1993,"Black Alone","2019 Dollars",11281000,"Fourth",73378
"1470",1993,"Black Alone","2019 Dollars",11281000,"Top 5%",132006
"1471",1992,"Black Alone","2019 Dollars",11269000,"Lowest",11732
"1472",1992,"Black Alone","2019 Dollars",11269000,"Second",24661
"1473",1992,"Black Alone","2019 Dollars",11269000,"Third",43507
"1474",1992,"Black Alone","2019 Dollars",11269000,"Fourth",72165
"1475",1992,"Black Alone","2019 Dollars",11269000,"Top 5%",126083
"1476",1991,"Black Alone","2019 Dollars",11083000,"Lowest",12024
"1477",1991,"Black Alone","2019 Dollars",11083000,"Second",25634
"1478",1991,"Black Alone","2019 Dollars",11083000,"Third",44899
"1479",1991,"Black Alone","2019 Dollars",11083000,"Fourth",73587
"1480",1991,"Black Alone","2019 Dollars",11083000,"Top 5%",126013
"1481",1990,"Black Alone","2019 Dollars",10671000,"Lowest",12282
"1482",1990,"Black Alone","2019 Dollars",10671000,"Second",26125
"1483",1990,"Black Alone","2019 Dollars",10671000,"Third",45659
"1484",1990,"Black Alone","2019 Dollars",10671000,"Fourth",74387
"1485",1990,"Black Alone","2019 Dollars",10671000,"Top 5%",131775
"1486",1989,"Black Alone","2019 Dollars",10486000,"Lowest",12589
"1487",1989,"Black Alone","2019 Dollars",10486000,"Second",26511
"1488",1989,"Black Alone","2019 Dollars",10486000,"Third",45945
"1489",1989,"Black Alone","2019 Dollars",10486000,"Fourth",75859
"1490",1989,"Black Alone","2019 Dollars",10486000,"Top 5%",130957
"1491",1988,"Black Alone","2019 Dollars",10561000,"Lowest",12378
"1492",1988,"Black Alone","2019 Dollars",10561000,"Second",25003
"1493",1988,"Black Alone","2019 Dollars",10561000,"Third",44163
"1494",1988,"Black Alone","2019 Dollars",10561000,"Fourth",75152
"1495",1988,"Black Alone","2019 Dollars",10561000,"Top 5%",128452
"1496",1987,"Black Alone","2019 Dollars",10192000,"Lowest",12120
"1497",1987,"Black Alone","2019 Dollars",10192000,"Second",25042
"1498",1987,"Black Alone","2019 Dollars",10192000,"Third",43177
"1499",1987,"Black Alone","2019 Dollars",10192000,"Fourth",72254
"1500",1987,"Black Alone","2019 Dollars",10192000,"Top 5%",126294
"1501",1986,"Black Alone","2019 Dollars",9922000,"Lowest",11742
"1502",1986,"Black Alone","2019 Dollars",9922000,"Second",25120
"1503",1986,"Black Alone","2019 Dollars",9922000,"Third",43545
"1504",1986,"Black Alone","2019 Dollars",9922000,"Fourth",72131
"1505",1986,"Black Alone","2019 Dollars",9922000,"Top 5%",123271
"1506",1985,"Black Alone","2019 Dollars",9797000,"Lowest",12461
"1507",1985,"Black Alone","2019 Dollars",9797000,"Second",24994
"1508",1985,"Black Alone","2019 Dollars",9797000,"Third",42208
"1509",1985,"Black Alone","2019 Dollars",9797000,"Fourth",69817
"1510",1985,"Black Alone","2019 Dollars",9797000,"Top 5%",118153
"1511",1984,"Black Alone","2019 Dollars",9480000,"Lowest",12240
"1512",1984,"Black Alone","2019 Dollars",9480000,"Second",23925
"1513",1984,"Black Alone","2019 Dollars",9480000,"Third",40247
"1514",1984,"Black Alone","2019 Dollars",9480000,"Fourth",66259
"1515",1984,"Black Alone","2019 Dollars",9480000,"Top 5%",115347
"1516",1983,"Black Alone","2019 Dollars",9243000,"Lowest",11750
"1517",1983,"Black Alone","2019 Dollars",9243000,"Second",22913
"1518",1983,"Black Alone","2019 Dollars",9243000,"Third",39168
"1519",1983,"Black Alone","2019 Dollars",9243000,"Fourth",65582
"1520",1983,"Black Alone","2019 Dollars",9243000,"Top 5%",111163
"1521",1982,"Black Alone","2019 Dollars",8916000,"Lowest",11844
"1522",1982,"Black Alone","2019 Dollars",8916000,"Second",23522
"1523",1982,"Black Alone","2019 Dollars",8916000,"Third",39730
"1524",1982,"Black Alone","2019 Dollars",8916000,"Fourth",64018
"1525",1982,"Black Alone","2019 Dollars",8916000,"Top 5%",103429
"1526",1981,"Black Alone","2019 Dollars",8961000,"Lowest",12180
"1527",1981,"Black Alone","2019 Dollars",8961000,"Second",23169
"1528",1981,"Black Alone","2019 Dollars",8961000,"Third",38900
"1529",1981,"Black Alone","2019 Dollars",8961000,"Fourth",65123
"1530",1981,"Black Alone","2019 Dollars",8961000,"Top 5%",107049
"1531",1980,"Black Alone","2019 Dollars",8847000,"Lowest",12412
"1532",1980,"Black Alone","2019 Dollars",8847000,"Second",24201
"1533",1980,"Black Alone","2019 Dollars",8847000,"Third",39990
"1534",1980,"Black Alone","2019 Dollars",8847000,"Fourth",65418
"1535",1980,"Black Alone","2019 Dollars",8847000,"Top 5%",109603
"1536",1979,"Black Alone","2019 Dollars",8586000,"Lowest",13176
"1537",1979,"Black Alone","2019 Dollars",8586000,"Second",25390
"1538",1979,"Black Alone","2019 Dollars",8586000,"Third",41616
"1539",1979,"Black Alone","2019 Dollars",8586000,"Fourth",68844
"1540",1979,"Black Alone","2019 Dollars",8586000,"Top 5%",111336
"1541",1978,"Black Alone","2019 Dollars",8066000,"Lowest",13358
"1542",1978,"Black Alone","2019 Dollars",8066000,"Second",25562
"1543",1978,"Black Alone","2019 Dollars",8066000,"Third",43276
"1544",1978,"Black Alone","2019 Dollars",8066000,"Fourth",68408
"1545",1978,"Black Alone","2019 Dollars",8066000,"Top 5%",113599
"1546",1977,"Black Alone","2019 Dollars",7977000,"Lowest",13441
"1547",1977,"Black Alone","2019 Dollars",7977000,"Second",24663
"1548",1977,"Black Alone","2019 Dollars",7977000,"Third",40401
"1549",1977,"Black Alone","2019 Dollars",7977000,"Fourth",65373
"1550",1977,"Black Alone","2019 Dollars",7977000,"Top 5%",108303
"1551",1976,"Black Alone","2019 Dollars",7776000,"Lowest",13569
"1552",1976,"Black Alone","2019 Dollars",7776000,"Second",24581
"1553",1976,"Black Alone","2019 Dollars",7776000,"Third",40968
"1554",1976,"Black Alone","2019 Dollars",7776000,"Fourth",65550
"1555",1976,"Black Alone","2019 Dollars",7776000,"Top 5%",105617
"1556",1975,"Black Alone","2019 Dollars",7489000,"Lowest",13054
"1557",1975,"Black Alone","2019 Dollars",7489000,"Second",24262
"1558",1975,"Black Alone","2019 Dollars",7489000,"Third",40817
"1559",1975,"Black Alone","2019 Dollars",7489000,"Fourth",63862
"1560",1975,"Black Alone","2019 Dollars",7489000,"Top 5%",101209
"1561",1974,"Black Alone","2019 Dollars",7263000,"Lowest",13691
"1562",1974,"Black Alone","2019 Dollars",7263000,"Second",25600
"1563",1974,"Black Alone","2019 Dollars",7263000,"Third",40791
"1564",1974,"Black Alone","2019 Dollars",7263000,"Fourth",63297
"1565",1974,"Black Alone","2019 Dollars",7263000,"Top 5%",102007
"1566",1973,"Black Alone","2019 Dollars",7040000,"Lowest",14271
"1567",1973,"Black Alone","2019 Dollars",7040000,"Second",25850
"1568",1973,"Black Alone","2019 Dollars",7040000,"Third",41570
"1569",1973,"Black Alone","2019 Dollars",7040000,"Fourth",65784
"1570",1973,"Black Alone","2019 Dollars",7040000,"Top 5%",106106
"1571",1972,"Black Alone","2019 Dollars",6809000,"Lowest",13460
"1572",1972,"Black Alone","2019 Dollars",6809000,"Second",25275
"1573",1972,"Black Alone","2019 Dollars",6809000,"Third",40418
"1574",1972,"Black Alone","2019 Dollars",6809000,"Fourth",64668
"1575",1972,"Black Alone","2019 Dollars",6809000,"Top 5%",103031
"1576",1971,"Black Alone","2019 Dollars",6578000,"Lowest",12938
"1577",1971,"Black Alone","2019 Dollars",6578000,"Second",24436
"1578",1971,"Black Alone","2019 Dollars",6578000,"Third",39513
"1579",1971,"Black Alone","2019 Dollars",6578000,"Fourth",61188
"1580",1971,"Black Alone","2019 Dollars",6578000,"Top 5%",98217
"1581",1970,"Black Alone","2019 Dollars",6180000,"Lowest",12562
"1582",1970,"Black Alone","2019 Dollars",6180000,"Second",25236
"1583",1970,"Black Alone","2019 Dollars",6180000,"Third",40019
"1584",1970,"Black Alone","2019 Dollars",6180000,"Fourth",61890
"1585",1970,"Black Alone","2019 Dollars",6180000,"Top 5%",100447
"1586",1969,"Black Alone","2019 Dollars",6053000,"Lowest",12729
"1587",1969,"Black Alone","2019 Dollars",6053000,"Second",24939
"1588",1969,"Black Alone","2019 Dollars",6053000,"Third",39313
"1589",1969,"Black Alone","2019 Dollars",6053000,"Fourth",59869
"1590",1969,"Black Alone","2019 Dollars",6053000,"Top 5%",96518
"1591",1968,"Black Alone","2019 Dollars",5870000,"Lowest",12787
"1592",1968,"Black Alone","2019 Dollars",5870000,"Second",24017
"1593",1968,"Black Alone","2019 Dollars",5870000,"Third",37553
"1594",1968,"Black Alone","2019 Dollars",5870000,"Fourth",58122
"1595",1968,"Black Alone","2019 Dollars",5870000,"Top 5%",92995
"1596",1967,"Black Alone","2019 Dollars",5728000,"Lowest",11926
"1597",1967,"Black Alone","2019 Dollars",5728000,"Second",22147
"1598",1967,"Black Alone","2019 Dollars",5728000,"Third",35234
"1599",1967,"Black Alone","2019 Dollars",5728000,"Fourth",54227
"1600",1967,"Black Alone","2019 Dollars",5728000,"Top 5%",90400
"1601",2019,"Hispanic","Current Dollars",17667000,"Lowest",25000
"1602",2019,"Hispanic","Current Dollars",17667000,"Second",45000
"1603",2019,"Hispanic","Current Dollars",17667000,"Third",69000
"1604",2019,"Hispanic","Current Dollars",17667000,"Fourth",111100
"1605",2019,"Hispanic","Current Dollars",17667000,"Top 5%",201511
"1606",2018,"Hispanic","Current Dollars",17758000,"Lowest",22480
"1607",2018,"Hispanic","Current Dollars",17758000,"Second",40034
"1608",2018,"Hispanic","Current Dollars",17758000,"Third",63260
"1609",2018,"Hispanic","Current Dollars",17758000,"Fourth",100022
"1610",2018,"Hispanic","Current Dollars",17758000,"Top 5%",185419
"1611",2017,"Hispanic","Current Dollars",17318000,"Lowest",22000
"1612",2017,"Hispanic","Current Dollars",17318000,"Second",40000
"1613",2017,"Hispanic","Current Dollars",17318000,"Third",63000
"1614",2017,"Hispanic","Current Dollars",17318000,"Fourth",99065
"1615",2017,"Hispanic","Current Dollars",17318000,"Top 5%",180012
"1616",2016,"Hispanic","Current Dollars",16915000,"Lowest",20907
"1617",2016,"Hispanic","Current Dollars",16915000,"Second",38445
"1618",2016,"Hispanic","Current Dollars",16915000,"Third",60000
"1619",2016,"Hispanic","Current Dollars",16915000,"Fourth",95040
"1620",2016,"Hispanic","Current Dollars",16915000,"Top 5%",170045
"1621",2015,"Hispanic","Current Dollars",16667000,"Lowest",20000
"1622",2015,"Hispanic","Current Dollars",16667000,"Second",35000
"1623",2015,"Hispanic","Current Dollars",16667000,"Third",55920
"1624",2015,"Hispanic","Current Dollars",16667000,"Fourth",90008
"1625",2015,"Hispanic","Current Dollars",16667000,"Top 5%",167641
"1626",2014,"Hispanic","Current Dollars",16239000,"Lowest",19000
"1627",2014,"Hispanic","Current Dollars",16239000,"Second",34000
"1628",2014,"Hispanic","Current Dollars",16239000,"Third",53000
"1629",2014,"Hispanic","Current Dollars",16239000,"Fourth",85000
"1630",2014,"Hispanic","Current Dollars",16239000,"Top 5%",149748
"1631",2013,"Hispanic","Current Dollars",16088000,"Lowest",17369
"1632",2013,"Hispanic","Current Dollars",16088000,"Second",31201
"1633",2013,"Hispanic","Current Dollars",16088000,"Third",50000
"1634",2013,"Hispanic","Current Dollars",16088000,"Fourth",83760
"1635",2013,"Hispanic","Current Dollars",16088000,"Top 5%",159731
"1636",2012,"Hispanic","Current Dollars",15589000,"Lowest",16800
"1637",2012,"Hispanic","Current Dollars",15589000,"Second",30400
"1638",2012,"Hispanic","Current Dollars",15589000,"Third",49000
"1639",2012,"Hispanic","Current Dollars",15589000,"Fourth",79000
"1640",2012,"Hispanic","Current Dollars",15589000,"Top 5%",144000
"1641",2011,"Hispanic","Current Dollars",14939000,"Lowest",17000
"1642",2011,"Hispanic","Current Dollars",14939000,"Second",30294
"1643",2011,"Hispanic","Current Dollars",14939000,"Third",47125
"1644",2011,"Hispanic","Current Dollars",14939000,"Fourth",76557
"1645",2011,"Hispanic","Current Dollars",14939000,"Top 5%",141869
"1646",2010,"Hispanic","Current Dollars",14435000,"Lowest",16013
"1647",2010,"Hispanic","Current Dollars",14435000,"Second",30000
"1648",2010,"Hispanic","Current Dollars",14435000,"Third",47602
"1649",2010,"Hispanic","Current Dollars",14435000,"Fourth",76020
"1650",2010,"Hispanic","Current Dollars",14435000,"Top 5%",137628
"1651",2009,"Hispanic","Current Dollars",13298000,"Lowest",17000
"1652",2009,"Hispanic","Current Dollars",13298000,"Second",30000
"1653",2009,"Hispanic","Current Dollars",13298000,"Third",48000
"1654",2009,"Hispanic","Current Dollars",13298000,"Fourth",76040
"1655",2009,"Hispanic","Current Dollars",13298000,"Top 5%",136757
"1656",2008,"Hispanic","Current Dollars",13425000,"Lowest",17000
"1657",2008,"Hispanic","Current Dollars",13425000,"Second",30050
"1658",2008,"Hispanic","Current Dollars",13425000,"Third",47000
"1659",2008,"Hispanic","Current Dollars",13425000,"Fourth",76000
"1660",2008,"Hispanic","Current Dollars",13425000,"Top 5%",137568
"1661",2007,"Hispanic","Current Dollars",13339000,"Lowest",17500
"1662",2007,"Hispanic","Current Dollars",13339000,"Second",30288
"1663",2007,"Hispanic","Current Dollars",13339000,"Third",48000
"1664",2007,"Hispanic","Current Dollars",13339000,"Fourth",75000
"1665",2007,"Hispanic","Current Dollars",13339000,"Top 5%",130100
"1666",2006,"Hispanic","Current Dollars",12973000,"Lowest",17000
"1667",2006,"Hispanic","Current Dollars",12973000,"Second",30000
"1668",2006,"Hispanic","Current Dollars",12973000,"Third",46040
"1669",2006,"Hispanic","Current Dollars",12973000,"Fourth",73220
"1670",2006,"Hispanic","Current Dollars",12973000,"Top 5%",130600
"1671",2005,"Hispanic","Current Dollars",12519000,"Lowest",16100
"1672",2005,"Hispanic","Current Dollars",12519000,"Second",29000
"1673",2005,"Hispanic","Current Dollars",12519000,"Third",44080
"1674",2005,"Hispanic","Current Dollars",12519000,"Fourth",68993
"1675",2005,"Hispanic","Current Dollars",12519000,"Top 5%",123417
"1676",2004,"Hispanic","Current Dollars",12178000,"Lowest",15562
"1677",2004,"Hispanic","Current Dollars",12178000,"Second",27000
"1678",2004,"Hispanic","Current Dollars",12178000,"Third",42000
"1679",2004,"Hispanic","Current Dollars",12178000,"Fourth",66000
"1680",2004,"Hispanic","Current Dollars",12178000,"Top 5%",118282
"1681",2003,"Hispanic","Current Dollars",11693000,"Lowest",15132
"1682",2003,"Hispanic","Current Dollars",11693000,"Second",27000
"1683",2003,"Hispanic","Current Dollars",11693000,"Third",40218
"1684",2003,"Hispanic","Current Dollars",11693000,"Fourth",65000
"1685",2003,"Hispanic","Current Dollars",11693000,"Top 5%",114052
"1686",2002,"Hispanic","Current Dollars",11339000,"Lowest",15108
"1687",2002,"Hispanic","Current Dollars",11339000,"Second",26840
"1688",2002,"Hispanic","Current Dollars",11339000,"Third",40700
"1689",2002,"Hispanic","Current Dollars",11339000,"Fourth",64100
"1690",2002,"Hispanic","Current Dollars",11339000,"Top 5%",112636
"1691",2001,"Hispanic","Current Dollars",10499000,"Lowest",15212
"1692",2001,"Hispanic","Current Dollars",10499000,"Second",27000
"1693",2001,"Hispanic","Current Dollars",10499000,"Third",40764
"1694",2001,"Hispanic","Current Dollars",10499000,"Fourth",64450
"1695",2001,"Hispanic","Current Dollars",10499000,"Top 5%",112758
"1696",2000,"Hispanic","Current Dollars",10034000,"Lowest",15000
"1697",2000,"Hispanic","Current Dollars",10034000,"Second",26830
"1698",2000,"Hispanic","Current Dollars",10034000,"Third",40400
"1699",2000,"Hispanic","Current Dollars",10034000,"Fourth",62134
"1700",2000,"Hispanic","Current Dollars",10034000,"Top 5%",107000
"1701",1999,"Hispanic","Current Dollars",9579000,"Lowest",14008
"1702",1999,"Hispanic","Current Dollars",9579000,"Second",24652
"1703",1999,"Hispanic","Current Dollars",9579000,"Third",37466
"1704",1999,"Hispanic","Current Dollars",9579000,"Fourth",60000
"1705",1999,"Hispanic","Current Dollars",9579000,"Top 5%",100309
"1706",1998,"Hispanic","Current Dollars",9060000,"Lowest",12000
"1707",1998,"Hispanic","Current Dollars",9060000,"Second",22500
"1708",1998,"Hispanic","Current Dollars",9060000,"Third",34944
"1709",1998,"Hispanic","Current Dollars",9060000,"Fourth",55000
"1710",1998,"Hispanic","Current Dollars",9060000,"Top 5%",97998
"1711",1997,"Hispanic","Current Dollars",8590000,"Lowest",11226
"1712",1997,"Hispanic","Current Dollars",8590000,"Second",21000
"1713",1997,"Hispanic","Current Dollars",8590000,"Third",33000
"1714",1997,"Hispanic","Current Dollars",8590000,"Fourth",51396
"1715",1997,"Hispanic","Current Dollars",8590000,"Top 5%",93114
"1716",1996,"Hispanic","Current Dollars",8225000,"Lowest",11000
"1717",1996,"Hispanic","Current Dollars",8225000,"Second",19800
"1718",1996,"Hispanic","Current Dollars",8225000,"Third",31000
"1719",1996,"Hispanic","Current Dollars",8225000,"Fourth",49560
"1720",1996,"Hispanic","Current Dollars",8225000,"Top 5%",86000
"1721",1995,"Hispanic","Current Dollars",7939000,"Lowest",10000
"1722",1995,"Hispanic","Current Dollars",7939000,"Second",18060
"1723",1995,"Hispanic","Current Dollars",7939000,"Third",28900
"1724",1995,"Hispanic","Current Dollars",7939000,"Fourth",46300
"1725",1995,"Hispanic","Current Dollars",7939000,"Top 5%",80300
"1726",1994,"Hispanic","Current Dollars",7735000,"Lowest",9723
"1727",1994,"Hispanic","Current Dollars",7735000,"Second",18100
"1728",1994,"Hispanic","Current Dollars",7735000,"Third",29030
"1729",1994,"Hispanic","Current Dollars",7735000,"Fourth",46462
"1730",1994,"Hispanic","Current Dollars",7735000,"Top 5%",82250
"1731",1993,"Hispanic","Current Dollars",7362000,"Lowest",9960
"1732",1993,"Hispanic","Current Dollars",7362000,"Second",18000
"1733",1993,"Hispanic","Current Dollars",7362000,"Third",28080
"1734",1993,"Hispanic","Current Dollars",7362000,"Fourth",44308
"1735",1993,"Hispanic","Current Dollars",7362000,"Top 5%",76500
"1736",1992,"Hispanic","Current Dollars",7153000,"Lowest",9600
"1737",1992,"Hispanic","Current Dollars",7153000,"Second",17800
"1738",1992,"Hispanic","Current Dollars",7153000,"Third",27803
"1739",1992,"Hispanic","Current Dollars",7153000,"Fourth",43720
"1740",1992,"Hispanic","Current Dollars",7153000,"Top 5%",74150
"1741",1991,"Hispanic","Current Dollars",6379000,"Lowest",9620
"1742",1991,"Hispanic","Current Dollars",6379000,"Second",18000
"1743",1991,"Hispanic","Current Dollars",6379000,"Third",28060
"1744",1991,"Hispanic","Current Dollars",6379000,"Fourth",43730
"1745",1991,"Hispanic","Current Dollars",6379000,"Top 5%",75000
"1746",1990,"Hispanic","Current Dollars",6220000,"Lowest",9584
"1747",1990,"Hispanic","Current Dollars",6220000,"Second",17500
"1748",1990,"Hispanic","Current Dollars",6220000,"Third",27235
"1749",1990,"Hispanic","Current Dollars",6220000,"Fourth",42000
"1750",1990,"Hispanic","Current Dollars",6220000,"Top 5%",72210
"1751",1989,"Hispanic","Current Dollars",5933000,"Lowest",9372
"1752",1989,"Hispanic","Current Dollars",5933000,"Second",17502
"1753",1989,"Hispanic","Current Dollars",5933000,"Third",27280
"1754",1989,"Hispanic","Current Dollars",5933000,"Fourth",42644
"1755",1989,"Hispanic","Current Dollars",5933000,"Top 5%",71000
"1756",1988,"Hispanic","Current Dollars",5910000,"Lowest",8216
"1757",1988,"Hispanic","Current Dollars",5910000,"Second",15800
"1758",1988,"Hispanic","Current Dollars",5910000,"Third",25020
"1759",1988,"Hispanic","Current Dollars",5910000,"Fourth",38856
"1760",1988,"Hispanic","Current Dollars",5910000,"Top 5%",66150
"1761",1987,"Hispanic","Current Dollars",5642000,"Lowest",7849
"1762",1987,"Hispanic","Current Dollars",5642000,"Second",15000
"1763",1987,"Hispanic","Current Dollars",5642000,"Third",23595
"1764",1987,"Hispanic","Current Dollars",5642000,"Fourth",37188
"1765",1987,"Hispanic","Current Dollars",5642000,"Top 5%",63336
"1766",1986,"Hispanic","Current Dollars",5418000,"Lowest",7800
"1767",1986,"Hispanic","Current Dollars",5418000,"Second",14359
"1768",1986,"Hispanic","Current Dollars",5418000,"Third",23000
"1769",1986,"Hispanic","Current Dollars",5418000,"Fourth",36000
"1770",1986,"Hispanic","Current Dollars",5418000,"Top 5%",59615
"1771",1985,"Hispanic","Current Dollars",5213000,"Lowest",7300
"1772",1985,"Hispanic","Current Dollars",5213000,"Second",13500
"1773",1985,"Hispanic","Current Dollars",5213000,"Third",21709
"1774",1985,"Hispanic","Current Dollars",5213000,"Fourth",33400
"1775",1985,"Hispanic","Current Dollars",5213000,"Top 5%",55700
"1776",1984,"Hispanic","Current Dollars",4883000,"Lowest",7000
"1777",1984,"Hispanic","Current Dollars",4883000,"Second",13256
"1778",1984,"Hispanic","Current Dollars",4883000,"Third",21450
"1779",1984,"Hispanic","Current Dollars",4883000,"Fourth",32172
"1780",1984,"Hispanic","Current Dollars",4883000,"Top 5%",52943
"1781",1983,"Hispanic","Current Dollars",4666000,"Lowest",6500
"1782",1983,"Hispanic","Current Dollars",4666000,"Second",12458
"1783",1983,"Hispanic","Current Dollars",4666000,"Third",19468
"1784",1983,"Hispanic","Current Dollars",4666000,"Fourth",29679
"1785",1983,"Hispanic","Current Dollars",4666000,"Top 5%",48903
"1786",1982,"Hispanic","Current Dollars",4085000,"Lowest",6500
"1787",1982,"Hispanic","Current Dollars",4085000,"Second",12000
"1788",1982,"Hispanic","Current Dollars",4085000,"Third",18680
"1789",1982,"Hispanic","Current Dollars",4085000,"Fourth",28500
"1790",1982,"Hispanic","Current Dollars",4085000,"Top 5%",46300
"1791",1981,"Hispanic","Current Dollars",3980000,"Lowest",6780
"1792",1981,"Hispanic","Current Dollars",3980000,"Second",12015
"1793",1981,"Hispanic","Current Dollars",3980000,"Third",18600
"1794",1981,"Hispanic","Current Dollars",3980000,"Fourth",27726
"1795",1981,"Hispanic","Current Dollars",3980000,"Top 5%",44284
"1796",1980,"Hispanic","Current Dollars",3906000,"Lowest",6087
"1797",1980,"Hispanic","Current Dollars",3906000,"Second",10850
"1798",1980,"Hispanic","Current Dollars",3906000,"Third",16700
"1799",1980,"Hispanic","Current Dollars",3906000,"Fourth",25324
"1800",1980,"Hispanic","Current Dollars",3906000,"Top 5%",40550
"1801",1979,"Hispanic","Current Dollars",3684000,"Lowest",6000
"1802",1979,"Hispanic","Current Dollars",3684000,"Second",10540
"1803",1979,"Hispanic","Current Dollars",3684000,"Third",16000
"1804",1979,"Hispanic","Current Dollars",3684000,"Fourth",23400
"1805",1979,"Hispanic","Current Dollars",3684000,"Top 5%",38255
"1806",1978,"Hispanic","Current Dollars",3291000,"Lowest",5342
"1807",1978,"Hispanic","Current Dollars",3291000,"Second",9700
"1808",1978,"Hispanic","Current Dollars",3291000,"Third",14300
"1809",1978,"Hispanic","Current Dollars",3291000,"Fourth",21060
"1810",1978,"Hispanic","Current Dollars",3291000,"Top 5%",32850
"1811",1977,"Hispanic","Current Dollars",3304000,"Lowest",5000
"1812",1977,"Hispanic","Current Dollars",3304000,"Second",8603
"1813",1977,"Hispanic","Current Dollars",3304000,"Third",12642
"1814",1977,"Hispanic","Current Dollars",3304000,"Fourth",18913
"1815",1977,"Hispanic","Current Dollars",3304000,"Top 5%",29922
"1816",1976,"Hispanic","Current Dollars",3081000,"Lowest",4225
"1817",1976,"Hispanic","Current Dollars",3081000,"Second",7653
"1818",1976,"Hispanic","Current Dollars",3081000,"Third",11600
"1819",1976,"Hispanic","Current Dollars",3081000,"Fourth",17200
"1820",1976,"Hispanic","Current Dollars",3081000,"Top 5%",26103
"1821",1975,"Hispanic","Current Dollars",2948000,"Lowest",4047
"1822",1975,"Hispanic","Current Dollars",2948000,"Second",7060
"1823",1975,"Hispanic","Current Dollars",2948000,"Third",10640
"1824",1975,"Hispanic","Current Dollars",2948000,"Fourth",15600
"1825",1975,"Hispanic","Current Dollars",2948000,"Top 5%",24264
"1826",1974,"Hispanic","Current Dollars",2897000,"Lowest",4220
"1827",1974,"Hispanic","Current Dollars",2897000,"Second",7124
"1828",1974,"Hispanic","Current Dollars",2897000,"Third",10580
"1829",1974,"Hispanic","Current Dollars",2897000,"Fourth",15175
"1830",1974,"Hispanic","Current Dollars",2897000,"Top 5%",24000
"1831",1973,"Hispanic","Current Dollars",2722000,"Lowest",4000
"1832",1973,"Hispanic","Current Dollars",2722000,"Second",6720
"1833",1973,"Hispanic","Current Dollars",2722000,"Third",9865
"1834",1973,"Hispanic","Current Dollars",2722000,"Fourth",14117
"1835",1973,"Hispanic","Current Dollars",2722000,"Top 5%",21500
"1836",1972,"Hispanic","Current Dollars",2655000,"Lowest",3667
"1837",1972,"Hispanic","Current Dollars",2655000,"Second",6205
"1838",1972,"Hispanic","Current Dollars",2655000,"Third",8900
"1839",1972,"Hispanic","Current Dollars",2655000,"Fourth",12440
"1840",1972,"Hispanic","Current Dollars",2655000,"Top 5%",19700
"1841",2019,"Hispanic","2019 Dollars",17667000,"Lowest",25000
"1842",2019,"Hispanic","2019 Dollars",17667000,"Second",45000
"1843",2019,"Hispanic","2019 Dollars",17667000,"Third",69000
"1844",2019,"Hispanic","2019 Dollars",17667000,"Fourth",111100
"1845",2019,"Hispanic","2019 Dollars",17667000,"Top 5%",201511
"1846",2018,"Hispanic","2019 Dollars",17758000,"Lowest",22887
"1847",2018,"Hispanic","2019 Dollars",17758000,"Second",40759
"1848",2018,"Hispanic","2019 Dollars",17758000,"Third",64406
"1849",2018,"Hispanic","2019 Dollars",17758000,"Fourth",101834
"1850",2018,"Hispanic","2019 Dollars",17758000,"Top 5%",188778
"1851",2017,"Hispanic","2019 Dollars",17318000,"Lowest",22945
"1852",2017,"Hispanic","2019 Dollars",17318000,"Second",41717
"1853",2017,"Hispanic","2019 Dollars",17318000,"Third",65705
"1854",2017,"Hispanic","2019 Dollars",17318000,"Fourth",103318
"1855",2017,"Hispanic","2019 Dollars",17318000,"Top 5%",187741
"1856",2016,"Hispanic","2019 Dollars",16915000,"Lowest",22274
"1857",2016,"Hispanic","2019 Dollars",16915000,"Second",40958
"1858",2016,"Hispanic","2019 Dollars",16915000,"Third",63922
"1859",2016,"Hispanic","2019 Dollars",16915000,"Fourth",101252
"1860",2016,"Hispanic","2019 Dollars",16915000,"Top 5%",181160
"1861",2015,"Hispanic","2019 Dollars",16667000,"Lowest",21582
"1862",2015,"Hispanic","2019 Dollars",16667000,"Second",37769
"1863",2015,"Hispanic","2019 Dollars",16667000,"Third",60344
"1864",2015,"Hispanic","2019 Dollars",16667000,"Fourth",97128
"1865",2015,"Hispanic","2019 Dollars",16667000,"Top 5%",180902
"1866",2014,"Hispanic","2019 Dollars",16239000,"Lowest",20538
"1867",2014,"Hispanic","2019 Dollars",16239000,"Second",36753
"1868",2014,"Hispanic","2019 Dollars",16239000,"Third",57291
"1869",2014,"Hispanic","2019 Dollars",16239000,"Fourth",91882
"1870",2014,"Hispanic","2019 Dollars",16239000,"Top 5%",161872
"1871",2013,"Hispanic","2019 Dollars",16088000,"Lowest",19093
"1872",2013,"Hispanic","2019 Dollars",16088000,"Second",34298
